LA,ESTAB,URN,PERCTOT,PPERSABS10
919,2000,117083,4.8,10.1
919,2001,139545,6.3,16.2
919,2002,117084,4.9,8.7
919,2003,136857,6.8,20.4
919,2004,138201,6.6,17.9
919,2005,131505,8.8,29.4
919,2007,132105,6.4,20.3
919,2008,132091,6.7,19.8
919,2009,138539,5.1,9.9
919,2011,117087,5.4,17
919,2012,117088,6.3,13.7
919,2013,117089,6.3,15.7
919,2014,117090,5.4,12.6
919,2016,117091,5.7,15.8
919,2017,117092,6.1,20.4
919,2019,117093,3.4,6.5
919,2020,145350,6.7,19.1
919,2022,117096,6.3,18.7
919,2023,117097,5.9,18.1
919,2024,144419,6.5,19.9
919,2025,117098,5.5,7.7
919,2026,133323,6.4,17.9
919,2027,133488,7.7,26.7
919,2028,138231,5.5,12
919,2029,138389,8.3,25.4
919,2030,117099,5.9,14.9
919,2031,117100,8.8,24.7
919,2032,117101,6.9,25
919,2033,117102,5.3,15.2
919,2034,117103,3.9,7.1
919,2035,138507,6.9,19.8
919,2036,139550,6.3,18.8
919,2038,140611,5.6,9.7
919,2039,117105,5,12.7
919,2040,117106,4.9,11.9
919,2041,117107,5,9.9
919,2042,140955,9.4,27.8
919,2043,140956,7.7,26
919,2044,117108,4.9,12.5
919,2045,117109,5,10.6
919,2047,117110,6.8,19.4
919,2049,140954,7.2,21.9
919,2050,117111,5.7,10.3
919,2051,142221,6.8,19.6
919,2053,117112,6.7,SUPP
919,2054,142862,4.1,4.6
919,2055,117113,5.5,10.3
919,2056,117114,6.8,13.8
919,2057,117115,5.4,10.2
919,2060,143648,5.8,11.4
919,2061,117117,7.1,15.8
919,2062,117118,5.3,12.6
919,2063,143856,8,25.3
919,2064,117119,4.5,5.6
919,2066,117120,5.7,13.4
919,2067,144903,7,24.7
919,2068,144904,7.5,20
919,2069,117123,8.4,28.2
919,2071,144959,8.6,34.5
919,2072,117125,5.3,11.6
919,2073,117126,9.6,29.4
919,2074,117127,5.3,12.6
919,2077,117128,5.7,13.1
919,2078,117129,2.8,SUPP
919,2079,117130,5.1,9.5
919,2080,144960,4,8.5
919,2081,145409,6.1,16.3
919,2082,117131,5.1,8.8
919,2083,117132,5.3,8.7
919,2084,117133,3.9,5
919,2085,117134,6.9,16.7
919,2086,145487,7.8,26.8
919,2088,146359,9.7,34.1
919,2089,147008,5.7,16.2
919,2090,117135,5.6,12.8
919,2091,117136,5.6,12.4
919,2092,147283,5.4,11.1
919,2093,138205,5.5,10.4
919,2094,138206,6,14.4
919,2095,148434,6.3,15.9
919,2096,117140,6.4,16.6
919,2097,147834,5,13.3
919,2098,117141,4.6,6.1
919,2099,139159,6.7,18.6
919,2100,117143,5.3,8.8
919,2101,117144,5.9,22.2
919,2102,117145,4.7,13.9
919,2103,117146,9.2,29.3
919,2105,117147,6.8,9.1
919,2106,117148,4.8,10.5
919,2107,117149,6.3,12.2
919,2108,117150,8.3,24
919,2109,117151,8.7,29.7
919,2110,143785,7.4,22.6
919,2111,117153,5.4,15.4
919,2112,148040,6.7,22.3
919,2114,117154,5.9,15
919,2115,145352,5.6,14.6
919,2116,117156,6.8,18.6
919,2117,117157,5.9,12.4
919,2120,117158,6.2,15.9
919,2122,117159,7.8,24.6
919,2123,117160,6.6,20.4
919,2124,117161,7.3,28
919,2125,117162,5.8,14.8
919,2126,117163,6,14.8
919,2130,146123,5.4,13
919,2131,117166,6.2,18.7
919,2132,117167,5.8,12.1
919,2133,117168,6.5,17.6
919,2135,144905,6.3,17.6
919,2137,144906,6.8,20.5
919,2139,117171,5.5,11.7
919,2140,117172,5.3,13.7
919,2142,117174,5.4,10.9
919,2143,117175,6.7,18.5
919,2145,117176,7.7,22.6
919,2146,117177,6,17.5
919,2147,117178,5.6,13.7
919,2151,117180,4,9.9
919,2153,117181,7.5,24.3
919,2154,117182,6.9,19.8
919,2155,117183,6.4,21.8
919,2156,145351,6.9,21.9
919,2165,117186,6.1,17.4
919,2166,117187,6.9,19.1
919,2168,117188,8.9,31
919,2169,117189,7,19.1
919,2177,117193,5.9,17.8
919,2178,117194,7.9,23.7
919,2181,117195,6.7,21.8
919,2184,117197,6.2,12.7
919,2188,117200,7.4,27.6
919,2193,117202,6.4,23
919,2198,117206,6.2,20
919,2203,117211,5.4,10.9
919,2206,146878,5.2,10.2
919,2210,117214,8,25.6
919,2219,117217,5.5,17.6
919,2223,117218,10,21.4
919,2224,117219,7.4,25.9
919,2225,117220,4,5.9
919,2226,117221,7.9,25.8
919,2227,117222,3.4,4.7
919,2228,117223,7.8,23
919,2229,117224,6.6,22
919,2235,143786,7.3,23.6
919,2237,117227,7.5,27.1
919,2240,117229,7.7,27.1
919,2242,117230,4.1,7.2
919,2243,117231,7.2,24.7
919,2250,117233,7.3,22.7
919,2251,117234,7,22
919,2252,117235,6.2,11.2
919,2253,117236,7.8,19.3
919,2258,117240,3.4,2.7
919,2261,117242,6.2,15.3
919,2263,117243,5,15.1
919,2266,117245,4.6,9
919,2274,117249,5,13
919,2280,117250,5.4,12.4
919,2283,117252,6,16.9
919,2287,117253,5.4,10.7
919,2288,117254,7.1,20
919,2289,117255,6.2,20
919,2293,117256,5.4,11.1
919,2296,145257,5.8,15.6
919,2299,117258,2.8,3.8
919,2300,117259,7.8,20.9
919,2301,117260,6.3,19.2
919,2302,117261,4.9,6.8
919,2304,117263,7.1,17.3
919,2308,117266,7.3,23.9
919,2311,146893,6,15.7
919,2312,117269,6.6,16.9
919,2314,117270,7.7,24.1
919,2316,117271,5.8,16.9
919,2317,117272,7.4,21.4
919,2322,117274,6.5,14.6
919,2326,117276,4.3,8.5
919,2327,117277,7.4,23
919,2331,117278,5.5,11.4
919,2332,117279,5.5,10.9
919,2333,117280,3.6,3.3
919,2336,117281,5,9.2
919,2337,137238,7.7,22.9
919,2338,117283,6.3,15.9
919,2339,117284,5.9,14.3
919,2341,117285,7.4,21.9
919,2343,148710,7.7,27.3
919,2344,140708,5.8,11.5
919,2348,117289,4,6.4
919,2349,117290,8.6,29.5
919,2353,117292,6.3,14.8
919,2354,117293,5,13.3
919,2356,117294,5.7,13.7
919,2360,117296,6.5,16.1
919,2362,117297,6.3,14.9
919,2364,117298,5.4,11
919,2365,117299,4.9,10.3
919,2372,145256,7.6,22.5
919,2375,117302,7.3,24.7
919,2378,117303,6.5,16.5
919,2379,117304,4.5,6.1
919,2380,117305,5.5,13.4
919,2381,117306,8.3,24.5
919,2384,143410,7.1,15.4
919,2385,144908,6.5,19.3
919,2386,117309,6.5,18.1
919,2387,117310,5.7,12.5
919,2389,117311,6,16.9
919,2390,140707,5.1,9.2
919,2391,117313,7.8,20.2
919,2392,117314,4.6,8.9
919,2393,117315,4,9
919,2394,117316,8.1,29.5
919,2395,117317,6,17.5
919,2397,117319,6.1,15.6
919,2398,143603,7,23.2
919,2401,147879,6.3,18.4
919,2405,117322,6.1,16.5
919,2406,117323,5,11.1
919,2407,117324,6.6,17.4
919,2411,117326,5.4,13.7
919,2412,117327,4.4,9.1
919,2414,117328,5.9,12
919,2415,117329,6.4,18
919,2416,117330,5.6,12.4
919,2417,117331,7.9,21.7
919,2422,117333,7.3,22.6
919,2424,117334,5.8,15.6
919,2426,117335,7.3,19
919,2427,117336,6.4,22.6
919,2428,117337,3.8,3.8
919,2429,143409,7,21.6
919,2432,145353,6.3,19.9
919,2433,117340,5.6,12.9
919,2436,145255,6.7,18.5
919,2437,117342,4.4,3.3
919,2442,117345,5.5,16.2
919,2443,117346,6.4,15.5
919,2444,145969,6.7,18.4
919,2446,117348,4.9,12.7
919,2448,117349,6,18.2
919,2451,117352,9.7,37.7
919,2452,117353,5.5,14
919,2454,137943,5.8,16.6
919,2457,117358,4.6,6.3
919,2462,117361,6.2,15.3
919,2464,117363,7.4,21.3
919,2465,117364,6.7,18.7
919,2466,117365,5.6,15.3
919,2467,117366,4.5,10.4
919,2468,117367,5.7,14.5
919,2469,117368,4.6,10.4
919,2980,117369,6,14.2
919,2982,117370,5.3,9.8
919,2985,117371,8,26.6
919,2991,117374,6.3,20
919,2994,117376,5.6,12.5
919,2995,117377,9.3,30
919,2996,117378,5.1,8.1
919,2997,117379,7.8,29.1
919,3000,117382,5.4,14
919,3003,147818,6,18.7
919,3004,117384,5.8,21.1
919,3005,117385,6.2,16.7
919,3006,117386,5.6,12.5
919,3007,117387,6.7,15.8
919,3008,117388,8.1,21.4
919,3009,117389,6.7,22.8
919,3011,117390,6.8,17.1
919,3012,117391,5.6,15.6
919,3013,117392,5.7,10.1
919,3015,117393,8.7,28.6
919,3016,117394,6.5,18.8
919,3018,117395,8.3,24.1
919,3020,117396,6.8,25
919,3025,117397,7,21.2
919,3026,117398,5.9,14.3
919,3029,117400,6.9,22.5
919,3030,117401,4.5,9.8
919,3032,117402,8.1,22.2
919,3034,117403,5.4,15.7
919,3037,146723,5.4,10.2
919,3038,117405,6.5,18.9
919,3039,117406,10.4,43.7
919,3040,117407,5.8,16.4
919,3041,117408,8.6,24.2
919,3042,117409,6.2,13.4
919,3043,117410,6.2,15.6
919,3045,117412,7.5,21.1
919,3047,117413,4.5,9.2
919,3049,117414,6.1,17.8
919,3053,117415,5.8,15.8
919,3054,117416,7,23
919,3301,117417,4.4,8.9
919,3302,117418,4.9,10.2
919,3303,117419,5.7,22.2
919,3306,117420,6.3,16.2
919,3307,117421,4.4,7.1
919,3308,117422,6.2,21.1
919,3314,117423,5.1,13
919,3315,117424,6.6,19.7
919,3318,148491,6,15
919,3319,117426,6.2,11
919,3326,117428,7.9,29.8
919,3327,148492,4.3,9.2
919,3329,117430,6,17.5
919,3333,117431,9.3,38.7
919,3334,117432,7.5,20.2
919,3335,117433,4.6,9.9
