URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
102256,919,6239,Independent school,185,111,74,60.0%,40.0%,2,1.1%,26,14.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117065,919,1000,State-funded nursery,77,40,37,51.9%,48.1%,0,0.0%,5,6.5%,9,68,0,11.7%,88.3%,0.0%,0,0,0,0.0%
117066,919,1002,State-funded nursery,136,76,60,55.9%,44.1%,13,9.6%,17,12.5%,59,77,0,43.4%,56.6%,0.0%,0,0,0,0.0%
117067,919,1003,State-funded nursery,124,63,61,50.8%,49.2%,6,4.8%,11,8.9%,35,88,1,28.2%,71.0%,0.8%,0,0,0,0.0%
117068,919,1006,State-funded nursery,84,40,44,47.6%,52.4%,0,0.0%,1,1.2%,20,64,0,23.8%,76.2%,0.0%,0,0,0,0.0%
117069,919,1008,State-funded nursery,175,86,89,49.1%,50.9%,9,5.1%,9,5.1%,39,136,0,22.3%,77.7%,0.0%,0,0,0,0.0%
117070,919,1009,State-funded nursery,77,48,29,62.3%,37.7%,0,0.0%,6,7.8%,21,56,0,27.3%,72.7%,0.0%,0,0,0,0.0%
117071,919,1010,State-funded nursery,107,47,60,43.9%,56.1%,5,4.7%,7,6.5%,29,78,0,27.1%,72.9%,0.0%,0,0,0,0.0%
117072,919,1011,State-funded nursery,138,67,71,48.6%,51.4%,7,5.1%,26,18.8%,11,127,0,8.0%,92.0%,0.0%,0,0,0,0.0%
117076,919,1016,State-funded nursery,102,51,51,50.0%,50.0%,0,0.0%,7,6.9%,31,71,0,30.4%,69.6%,0.0%,0,0,0,0.0%
117077,919,1017,State-funded nursery,90,43,47,47.8%,52.2%,1,1.1%,7,7.8%,21,69,0,23.3%,76.7%,0.0%,0,0,0,0.0%
