RECTYPE,LEA,ESTAB,URN,ICLOSE,SCHNAME,NFTYPE,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,SCH_6TH,SIXTH_COL,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,SCH_6THPER,SIXTH_COLPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER,COHORT_DIS,OVERALL_DEST_DIS,APPREN_DIS,EMPLOYMENT_DIS,EDUCATION_DIS,FE_DIS,SCH_6TH_DIS,SIXTH_COL_DIS,OTHER_EDU_DIS,NOT_SUSTAINED_DIS,UNKNOWN_DIS,OVERALL_DESTPER_DIS,APPRENPER_DIS,EMPLOYMENTPER_DIS,EDUCATIONPER_DIS,FEPER_DIS,SCH_6THPER_DIS,SIXTH_COLPER_DIS,OTHER_EDUPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,COHORT_NONDIS,OVERALL_DEST_NONDIS,APPREN_NONDIS,EMPLOYMENT_NONDIS,EDUCATION_NONDIS,FE_NONDIS,SCH_6TH_NONDIS,SIXTH_COL_NONDIS,OTHER_EDU_NONDIS,NOT_SUSTAINED_NONDIS,UNKNOWN_NONDIS,OVERALL_DESTPER_NONDIS,APPRENPER_NONDIS,EMPLOYMENTPER_NONDIS,EDUCATIONPER_NONDIS,FEPER_NONDIS,SCH_6THPER_NONDIS,SIXTH_COLPER_NONDIS,OTHER_EDUPER_NONDIS,NOT_SUSTAINEDPER_NONDIS,UNKNOWNPER_NONDIS,COHORT_21,OVERALL_DESTPER_21,COHORT_DIS_21,OVERALL_DESTPER_DIS_21,COHORT_NONDIS_21,OVERALL_DESTPER_NONDIS_21,COHORT_20,OVERALL_DESTPER_20,COHORT_DIS_20,OVERALL_DESTPER_DIS_20,COHORT_NONDIS_20,OVERALL_DESTPER_NONDIS_20
1,919,4000,117499,0,The Priory School,FD,189,182,4,8,170,55,112,3,0,6,1,96%,2%,4%,90%,29%,59%,2%,0%,3%,1%,28,26,0,2,24,14,9,1,0,SUPP,SUPP,93%,0%,7%,86%,50%,32%,4%,0%,SUPP,SUPP,161,156,4,6,146,41,103,2,0,SUPP,SUPP,97%,2%,4%,91%,25%,64%,1%,0%,SUPP,SUPP,201,96%,52,SUPP,149,SUPP,166,94%,22,91%,144,94%
1,919,4001,138747,0,Hertswood Academy,ACC,209,199,4,7,188,89,98,0,1,7,3,95%,2%,3%,90%,43%,47%,0%,SP,3%,1%,55,51,1,2,48,SUPP,20,0,SUPP,4,0,93%,2%,4%,87%,SUPP,36%,0%,SUPP,7%,0%,154,148,3,5,140,SUPP,78,0,SUPP,3,3,96%,2%,3%,91%,SUPP,51%,0%,SUPP,2%,2%,201,94%,51,90%,150,95%,175,92%,53,94%,122,91%
1,919,4003,138582,0,Samuel Ryder Academy,AC,149,139,2,2,135,45,87,0,3,8,2,93%,1%,1%,91%,30%,58%,0%,2%,5%,1%,33,29,SUPP,SUPP,27,15,11,0,1,4,0,88%,SUPP,SUPP,82%,45%,33%,0%,3%,12%,0%,116,110,SUPP,SUPP,108,30,76,0,2,4,2,95%,SUPP,SUPP,93%,26%,66%,0%,2%,3%,2%,129,98%,44,98%,85,98%,122,95%,30,90%,92,97%
1,919,4004,139416,0,Elstree Screen Arts Academy,UTC,88,76,1,6,69,30,39,0,0,11,1,86%,1%,7%,78%,34%,44%,0%,0%,13%,1%,31,26,SUPP,SUPP,22,14,8,0,0,SUPP,SUPP,84%,SUPP,SUPP,71%,45%,26%,0%,0%,SUPP,SUPP,57,50,SUPP,SUPP,47,16,31,0,0,SUPP,SUPP,88%,SUPP,SUPP,82%,28%,54%,0%,0%,SUPP,SUPP,92,85%,30,83%,62,85%,92,92%,29,90%,63,94%
1,919,4005,117500,0,The Hemel Hempstead School,FD,185,178,3,3,172,61,110,0,1,7,0,96%,2%,2%,93%,33%,59%,0%,1%,4%,0%,29,24,0,0,24,SUPP,6,0,SUPP,5,0,83%,0%,0%,83%,SUPP,21%,0%,SUPP,17%,0%,156,154,3,3,148,SUPP,104,0,SUPP,2,0,99%,2%,2%,95%,SUPP,67%,0%,SUPP,1%,0%,184,98%,21,95%,163,99%,178,95%,23,83%,155,97%
1,919,4006,139873,0,Richard Hale School,ACC,178,174,8,0,166,24,142,0,0,3,1,98%,4%,0%,93%,13%,80%,0%,0%,2%,1%,16,13,0,0,13,5,8,0,0,SUPP,SUPP,81%,0%,0%,81%,31%,50%,0%,0%,SUPP,SUPP,162,161,8,0,153,19,134,0,0,SUPP,SUPP,99%,5%,0%,94%,12%,83%,0%,0%,SUPP,SUPP,160,96%,12,83%,148,97%,161,98%,16,88%,145,99%
1,919,4007,139662,0,The Reach Free School,F,115,112,4,5,103,40,60,0,3,2,1,97%,3%,4%,90%,35%,52%,0%,3%,2%,1%,29,SUPP,SUPP,3,22,11,11,0,0,SUPP,SUPP,SUPP,SUPP,10%,76%,38%,38%,0%,0%,SUPP,SUPP,86,SUPP,SUPP,2,81,29,49,0,3,SUPP,SUPP,SUPP,SUPP,2%,94%,34%,57%,0%,3%,SUPP,SUPP,118,98%,29,97%,89,99%,91,95%,17,94%,74,95%
1,919,4008,139154,0,Hitchin Boys' School,ACC,165,164,3,3,158,23,131,4,0,1,0,99%,2%,2%,96%,14%,79%,2%,0%,1%,0%,21,SUPP,SUPP,1,19,5,14,0,0,SUPP,0,SUPP,SUPP,5%,90%,24%,67%,0%,0%,SUPP,0%,144,SUPP,SUPP,2,139,18,117,4,0,SUPP,0,SUPP,SUPP,1%,97%,13%,81%,3%,0%,SUPP,0%,169,98%,10,90%,159,99%,158,97%,10,90%,148,97%
1,919,4009,137288,0,Hitchin Girls' School,ACC,166,160,0,0,160,21,129,8,2,5,1,96%,0%,0%,96%,13%,78%,5%,1%,3%,1%,17,15,0,0,15,7,8,0,0,SUPP,SUPP,88%,0%,0%,88%,41%,47%,0%,0%,SUPP,SUPP,149,145,0,0,145,14,121,8,2,SUPP,SUPP,97%,0%,0%,97%,9%,81%,5%,1%,SUPP,SUPP,164,99%,20,SUPP,144,SUPP,171,98%,23,96%,148,99%
1,919,4010,117504,0,Fearnhill School,FD,81,79,1,3,75,38,37,0,0,2,0,98%,1%,4%,93%,47%,46%,0%,0%,2%,0%,32,SUPP,SUPP,SUPP,28,20,8,0,0,SUPP,0,SUPP,SUPP,SUPP,88%,63%,25%,0%,0%,SUPP,0%,49,SUPP,SUPP,SUPP,47,18,29,0,0,SUPP,0,SUPP,SUPP,SUPP,96%,37%,59%,0%,0%,SUPP,0%,84,89%,27,85%,57,91%,64,95%,17,SUPP,47,SUPP
