URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
102256,919,6239,Independent school,194,111,83,57.2%,42.8%,3,1.5%,32,16.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117065,919,1000,State-funded nursery,75,27,48,36.0%,64.0%,2,2.7%,8,10.7%,13,62,0,17.3%,82.7%,0.0%,0,NA,NA,NA
117066,919,1002,State-funded nursery,120,59,61,49.2%,50.8%,12,10.0%,21,17.5%,39,81,0,32.5%,67.5%,0.0%,0,NA,NA,NA
117067,919,1003,State-funded nursery,122,59,63,48.4%,51.6%,4,3.3%,8,6.6%,34,87,1,27.9%,71.3%,0.8%,0,0,1,0.0%
117068,919,1006,State-funded nursery,82,32,50,39.0%,61.0%,0,0.0%,2,2.4%,7,75,0,8.5%,91.5%,0.0%,0,NA,NA,NA
117069,919,1008,State-funded nursery,173,81,92,46.8%,53.2%,7,4.0%,19,11.0%,42,131,0,24.3%,75.7%,0.0%,0,NA,NA,NA
117070,919,1009,State-funded nursery,76,31,45,40.8%,59.2%,1,1.3%,9,11.8%,9,67,0,11.8%,88.2%,0.0%,0,NA,NA,NA
117071,919,1010,State-funded nursery,107,36,71,33.6%,66.4%,3,2.8%,14,13.1%,31,76,0,29.0%,71.0%,0.0%,0,NA,NA,NA
117072,919,1011,State-funded nursery,150,78,72,52.0%,48.0%,3,2.0%,15,10.0%,11,139,0,7.3%,92.7%,0.0%,0,NA,NA,NA
117076,919,1016,State-funded nursery,95,55,40,57.9%,42.1%,4,4.2%,15,15.8%,26,69,0,27.4%,72.6%,0.0%,0,0,2,0.0%
117077,919,1017,State-funded nursery,81,39,42,48.1%,51.9%,2,2.5%,4,4.9%,13,68,0,16.0%,84.0%,0.0%,0,NA,NA,NA
117078,919,1018,State-funded nursery,62,25,37,40.3%,59.7%,1,1.6%,15,24.2%,4,58,0,6.5%,93.5%,0.0%,0,NA,NA,NA
117079,919,1019,State-funded nursery,167,83,84,49.7%,50.3%,8,4.8%,28,16.8%,29,138,0,17.4%,82.6%,0.0%,0,NA,NA,NA
117080,919,1022,State-funded nursery,87,42,45,48.3%,51.7%,0,0.0%,7,8.0%,19,68,0,21.8%,78.2%,0.0%,0,NA,NA,NA
117083,919,2000,State-funded primary,418,200,218,47.8%,52.2%,10,2.4%,67,16.0%,38,380,0,9.1%,90.9%,0.0%,41,44,394,11.2%
117084,919,2002,State-funded primary,223,117,106,52.5%,47.5%,2,0.9%,31,13.9%,10,213,0,4.5%,95.5%,0.0%,22,22,203,10.8%
117087,919,2011,State-funded primary,71,43,28,60.6%,39.4%,2,2.8%,4,5.6%,0,71,0,0.0%,100.0%,0.0%,6,6,60,10.0%
117088,919,2012,State-funded primary,241,114,127,47.3%,52.7%,10,4.1%,24,10.0%,45,192,4,18.7%,79.7%,1.7%,20,20,213,9.4%
117089,919,2013,State-funded primary,441,220,221,49.9%,50.1%,7,1.6%,63,14.3%,142,299,0,32.2%,67.8%,0.0%,72,72,403,17.9%
117090,919,2014,State-funded primary,211,98,113,46.4%,53.6%,1,0.5%,21,10.0%,30,181,0,14.2%,85.8%,0.0%,12,12,174,6.9%
