URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
102256,Hertfordshire,919,6239,9196239,The Purcell School,Aldenham Road,Bushey,,,WD23 2TS,Open,,,Independent school,Other independent school,1,1,1,8,19,Mixed,None,Not applicable
117083,Hertfordshire,919,2000,9192000,Abbots Langley School,Parsonage Close,,,Abbots Langley,WD5 0BQ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117084,Hertfordshire,919,2002,9192002,Ashwell Primary School,Silver Street,Ashwell,,Baldock,SG7 5QL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117087,Hertfordshire,919,2011,9192011,Jenyns First School and Nursery,Uplands,Braughing,,Ware,SG11 2QJ,Open,,,Maintained school,Community school,1,0,0,3,9,Mixed,Does not apply,Not applicable
117088,Hertfordshire,919,2012,9192012,Bushey Heath Primary School,The Rutts,Bushey Heath,,Bushey,WD23 1SP,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117089,Hertfordshire,919,2013,9192013,Highwood Primary School,Mead Way,,,Bushey,WD23 2AW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117090,Hertfordshire,919,2014,9192014,Merry Hill Infant School and Nursery,School Lane,,,Bushey,WD23 1ST,Open,,,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Not applicable
117091,Hertfordshire,919,2016,9192016,Holdbrook Primary School and Nursery,Longcroft Drive,,,Waltham Cross,EN8 7QG,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117092,Hertfordshire,919,2017,9192017,Four Swannes Primary School,King Edward Road,,,Waltham Cross,EN8 7HH,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117093,Hertfordshire,919,2019,9192019,Chorleywood Primary School,Stag Lane,Chorleywood,,Rickmansworth,WD3 5HR,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
117096,Hertfordshire,919,2022,9192022,Shepherd Primary,Shepherd's Lane,,,Rickmansworth,WD3 8JJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117097,Hertfordshire,919,2023,9192023,Hobletts Manor Junior School,Adeyfield Road,,,Hemel Hempstead,HP2 5JS,Open,,,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Not applicable
117098,Hertfordshire,919,2025,9192025,The Russell School,Brushwood Drive,Chorleywood,,Rickmansworth,WD3 5RR,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117099,Hertfordshire,919,2030,9192030,Cowley Hill School,Winstre Road,,,Borehamwood,WD6 5DP,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117100,Hertfordshire,919,2031,9192031,Flamstead Village School,Trowley Hill Road,Flamstead,59 Trowley Hill Road,St. Albans,AL3 8DL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117101,Hertfordshire,919,2032,9192032,Gaddesden Row JMI School,Gaddesden Row,,,Hemel Hempstead,HP2 6HG,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
117102,Hertfordshire,919,2033,9192033,Sauncey Wood Primary School,Pickford Hill,,,Harpenden,AL5 5HL,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
117103,Hertfordshire,919,2034,9192034,Manland Primary School,Sauncey Avenue,,,Harpenden,AL5 4QW,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Non-selective
117105,Hertfordshire,919,2039,9192039,Green Lanes Primary School,Green Lanes,,,Hatfield,AL10 9JY,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
117106,Hertfordshire,919,2040,9192040,George Street Primary School,George Street,,,Hemel Hempstead,HP2 5HJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
117107,Hertfordshire,919,2041,9192041,Boxmoor Primary School,Cowper Road,Boxmoor,,Hemel Hempstead,HP1 1PF,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
