postcode_key,latitude,longitude
SG64BA,51.976368,-0.247448
HP13DW,51.757589,-0.483115
EN75FB,51.696361,-0.054822
HP27HL,51.775061,-0.448045
WD65LG,51.666709,-0.265716
AL108AB,51.760218,-0.220506
WD257HW,51.69806,-0.391757
SG142DG,51.79866,-0.102139
HP24DE,51.753331,-0.448979
EN89LY,51.700908,-0.046494
EN62DU,51.69085,-0.206835
WD187JF,51.655025,-0.414302
WD180AE,51.651461,-0.396168
WD250UU,51.703243,-0.389417
WD36EW,51.66354,-0.514048
AL49NX,51.770769,-0.307807
AL54TD,51.82214,-0.35333
CM235NJ,51.867752,0.17113
AL54QP,51.822675,-0.34594
AL40XB,51.755151,-0.29919
